city,latitude,longitude,attacks
Antarctica,-79.634209,-161.127601,10
Antarctica,-79.281465,-162.439847,10
Antarctica,-78.928774,-163.027408,10
Antarctica,-78.869966,-163.066604,10
Antarctica,-78.595667,-163.712896,10
Antarctica,-78.223338,-163.105801,10
Antarctica,-78.380176,-161.245113,10
Antarctica,-78.693645,-160.246208,10
Antarctica,-79.046338,-159.482405,10
Antarctica,-79.497059,-159.208184,10
Antarctica,-78.04707,-45.154758,10
Antarctica,-78.478103,-43.920828,10
Antarctica,-79.08556,-43.48995,10
Antarctica,-79.516645,-43.372438,10
Antarctica,-80.026123,-43.333267,10
Antarctica,-80.339644,-44.880537,10
Antarctica,-80.594357,-46.506174,10
Antarctica,-80.829485,-48.386421,10
Antarctica,-81.025442,-50.482107,10
Antarctica,-80.966685,-52.851988,10
Antarctica,-80.633528,-54.164259,10
Antarctica,-80.222028,-53.987991,10
Antarctica,-79.94773,-51.853134,10
Antarctica,-79.614623,-50.991326,10
Antarctica,-79.183487,-50.364595,10
Antarctica,-78.811209,-49.914131,10
Antarctica,-78.458569,-49.306959,10
Antarctica,-78.047018,-48.660616,10
Antarctica,-78.047019,-48.660616,10
Antarctica,-78.04707,-48.151396,10
Antarctica,-77.831476,-46.662857,10
Antarctica,-78.04707,-45.154758,10
Antarctica,-73.50099,-121.211511,10
Antarctica,-73.657725,-119.918851,10
Antarctica,-73.481353,-118.724143,10
Antarctica,-73.834097,-119.292119,10
Antarctica,-74.08881,-120.232217,10
Antarctica,-74.010468,-121.62283,10
Antarctica,-73.657778,-122.621735,10
Antarctica,-73.657777,-122.621735,10
Antarctica,-73.324619,-122.406245,10
Antarctica,-73.50099,-121.211511,10
Antarctica,-73.481353,-125.559566,10
Antarctica,-73.873268,-124.031882,10
Antarctica,-73.834097,-124.619469,10
Antarctica,-73.736118,-125.912181,10
Antarctica,-73.461769,-127.28313,10
Antarctica,-73.461768,-127.28313,10
Antarctica,-73.246226,-126.558472,10
Antarctica,-73.481353,-125.559566,10
Antarctica,-71.933334,-98.98155,10
Antarctica,-72.070535,-97.884743,10
Antarctica,-71.952971,-96.787937,10
Antarctica,-72.521205,-96.20035,10
Antarctica,-72.442864,-96.983765,10
Antarctica,-72.482035,-98.198083,10
Antarctica,-72.442864,-99.432013,10
Antarctica,-72.50162,-100.783455,10
Antarctica,-72.305663,-101.801868,10
Antarctica,-71.894164,-102.330725,10
Antarctica,-71.717792,-101.703967,10
Antarctica,-71.854993,-100.430919,10
Antarctica,-71.933334,-98.98155,10
Antarctica,-70.955823,-68.451346,10
Antarctica,-71.406493,-68.333834,10
Antarctica,-71.798407,-68.510128,10
Antarctica,-72.170736,-68.784297,10
Antarctica,-72.307885,-69.959471,10
Antarctica,-72.503842,-71.075889,10
Antarctica,-72.484257,-72.388134,10
Antarctica,-72.092343,-71.8985,10
Antarctica,-72.229492,-73.073622,10
Antarctica,-72.366693,-74.19004,10
Antarctica,-72.072757,-74.953895,10
Antarctica,-71.661258,-75.012625,10
Antarctica,-71.269345,-73.915819,10
Antarctica,-71.269344,-73.915819,10
Antarctica,-71.15178,-73.230331,10
Antarctica,-71.190951,-72.074717,10
Antarctica,-70.681473,-71.780962,10
Antarctica,-70.309196,-71.72218,10
Antarctica,-69.505782,-71.741791,10
Antarctica,-69.035475,-71.173815,10
